epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,318,219,104,69,167,0.3270440251572327,0.5660377358490566,0.5342465753424658,0.9423076923076923,0.12488713853521438,0.08982563487641543,0.6278674425356126,0.6921398698871766,0.47744391142175746,0.19806579343191738,0.28626302619671035,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,352,328,270,27,76,0.7670454545454546,0.8778409090909091,0.8201219512195121,0.9629629629629629,0.11287268090880273,0.14732515438168056,0.7533268632111002,0.6215978373166972,0.5393754740004186,0.2885541494383856,0.29094055483705905,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,354,330,291,23,53,0.8220338983050848,0.9152542372881356,0.8727272727272727,0.9621993127147767,0.11241504777820097,0.14805023089332825,0.7363312930016223,0.6247578752963692,0.4656849846090238,0.2548634980035865,0.2790349517017603,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,373,315,294,51,36,0.7882037533512064,0.9061662198391421,0.9015873015873016,0.9625850340136054,0.11452511630030296,0.16491223637331398,0.7583064973781759,0.5964262465226999,0.3815143216832155,0.11098586325990219,0.22679341139478815,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,373,319,281,45,57,0.7533512064343163,0.9168900804289544,0.8589341692789969,0.9644128113879004,0.11522437483854069,0.18730430899669662,0.762360052601474,0.5656897974135896,0.39547280031272947,0.16690087688879834,0.21742884673406943,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
25,377,309,282,59,42,0.7480106100795756,0.9283819628647215,0.883495145631068,0.9680851063829787,0.09733044168879648,0.17328932574437292,0.7941204266675796,0.5766805545602544,0.37643344268361306,0.12041659807881057,0.2072703408831287,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
