epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,318,219,104,69,167,0.3270440251572327,0.5660377358490566,0.5342465753424658,0.9423076923076923,0.12488713853521438,0.08982563487641543,0.6278674425356126,0.6921398698871766,0.47744391142175746,0.19806579343191738,0.28626302619671035,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,249,238,195,43,50,0.7831325301204819,0.9397590361445783,0.8991596638655462,0.9743589743589743,0.9868490875195453,0.9863214879277936,0.02979940138216171,0.027733181944501473,0.5855022300512362,0.40130004563996957,0.36722455874085425,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,358,323,276,29,69,0.770949720670391,0.8910614525139665,0.8792569659442725,0.9818840579710145,0.9871923580003362,0.9870398427710778,0.030233714389534625,0.027113443135065234,0.4819985165976096,0.2450313420709351,0.26318578152120975,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,371,335,303,30,47,0.816711590296496,0.9164420485175202,0.8925373134328358,0.9636963696369637,0.9870860792005721,0.9876098102138646,0.0319049625148205,0.025583145457141323,0.3958940374182396,0.1745736773436268,0.17567748986580906,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,371,323,294,37,48,0.7924528301886793,0.9353099730458221,0.891640866873065,0.9693877551020408,0.9870757597455905,0.9881325979682772,0.032163977371321845,0.02442705654596185,0.39511531140325834,0.179318931809551,0.26420601302136976,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
25,375,333,308,40,36,0.8213333333333334,0.944,0.9069069069069069,0.974025974025974,0.9867337385584163,0.9878109017078813,0.03338298955087361,0.025553074249702473,0.3832197760945404,0.18396063034597318,0.19891431123121744,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
