epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,318,219,104,69,167,0.3270440251572327,0.5660377358490566,0.5342465753424658,0.9423076923076923,0.12488713853521438,0.08982563487641543,0.6278674425356126,0.6921398698871766,0.47744391142175746,0.19806579343191738,0.28626302619671035,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,352,328,270,27,76,0.7670454545454546,0.8778409090909091,0.8201219512195121,0.9629629629629629,0.11287268090880273,0.14732515438168056,0.7533268632111002,0.6215978373166972,0.5393754740004186,0.2885541494383856,0.29094055483705905,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,367,355,321,18,43,0.8746594005449592,0.9100817438692098,0.8788732394366198,0.956386292834891,0.08175849630218572,0.15612471034381908,0.8377888715198776,0.6452250969350346,0.47392266717191056,0.2117743365880516,0.2022239587941142,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
