epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,318,219,104,69,167,0.3270440251572327,0.5660377358490566,0.5342465753424658,0.9423076923076923,0.12488713853521438,0.08982563487641543,0.6278674425356126,0.6921398698871766,0.47744391142175746,0.19806579343191738,0.28626302619671035,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,249,238,195,43,50,0.7831325301204819,0.9397590361445783,0.8991596638655462,0.9743589743589743,0.9868490875195453,0.9863214879277936,0.02979940138216171,0.027733181944501473,0.5855022300512362,0.40130004563996957,0.36722455874085425,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,367,349,300,13,67,0.8174386920980926,0.8991825613079019,0.8710601719197708,0.9633333333333334,0.9861001809896247,0.9869023438839984,0.03459167614245739,0.028145184423249727,0.5135074708859125,0.28572553109664184,0.2489026415147888,,,,,,,,,False,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
