tag,save_path,segment_end_epoch,best_r1_by_map,best_r10_by_map,best_r20_by_map,best_map,best_minp,last_common_accuracy,last_mutual_match_ratio,last_num_common,latest_phase2_state
baseline,baseline_sysu_p2s30_sysu_seg_20260702_012029,30,0.5410,0.9034,0.9621,0.5209,0.3778,0.9680851063829787,0.7480106100795756,282,/kaggle/working/UIT.CS2309/saved_sysu_resnet/baseline_sysu_p2s30_sysu_seg_20260702_012029/phase2_states/phase2_state_5.pth
upr_v02,upr_v02_sysu_p2s30_sysu_seg_20260702_012029,30,0.5046,0.8890,0.9498,0.5053,0.3797,0.974025974025974,0.8213333333333334,308,/kaggle/working/UIT.CS2309/saved_sysu_resnet/upr_v02_sysu_p2s30_sysu_seg_20260702_012029/phase2_states/phase2_state_5.pth
