epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,142,124,47,32,99,0.33098591549295775,0.3732394366197183,0.3467741935483871,0.5957446808510638,0.17003308491088964,0.18085551654863424,0.5666432981771526,0.5349934934331859,0.4523059738443253,0.2990252198651433,0.3325949123110434,,,,,,,,,True,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,151,132,59,32,95,0.39072847682119205,0.46357615894039733,0.4090909090909091,0.6610169491525424,0.1467521671800891,0.16222749668469363,0.6138254547992886,0.5886054623583754,0.5431020906416036,0.3838102538138628,0.3640299270027562,,,,,,,,,True,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,153,163,113,5,61,0.738562091503268,0.5359477124183006,0.4662576687116564,0.5929203539823009,0.28820175114043556,0.12895111089487513,0.5716587944493626,0.6870773438121255,0.7007602458506559,0.4083764851093292,0.30726035403423624,,,,,,,,,True,3,0.5,2,206,0.3592233009708738,0.6019417475728155,0.3105347281472221,0.8047913059407433,206,0.3932038834951456,0.5533980582524272,0.31744303222819953,0.7722476390763531
3,156,173,130,5,53,0.8333333333333334,0.5576923076923077,0.5317919075144508,0.6153846153846154,0.2205631278688189,0.10999016234821853,0.6653571801399163,0.7586785499291104,0.729811185827622,0.2745023548603058,0.3301501378135861,,,,,,,,,True,3,0.5,2,206,0.4368932038834951,0.5388349514563107,0.32840941208409763,0.7632899608897462,206,0.49029126213592233,0.6310679611650486,0.3734406875923421,0.7343478505430141
4,164,177,143,5,37,0.8719512195121951,0.5914634146341463,0.536723163841808,0.6153846153846154,0.13883895725329268,0.09789748211129853,0.7689576150740327,0.7929718186399138,0.7121844752268358,0.31845801770687104,0.3239851110690349,,,,,,,,,True,3,0.5,2,206,0.47572815533980584,0.6262135922330098,0.3814004940110767,0.7222031821739662,206,0.5,0.6116504854368932,0.3916901148024065,0.713809852646758
