epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean,filter_rgb_enabled,filter_rgb_keep_ratio,filter_rgb_original_pairs,filter_rgb_kept_pairs,filter_ir_enabled,filter_ir_keep_ratio,filter_ir_original_pairs,filter_ir_kept_pairs,soft_enabled,soft_topk,soft_temperature,soft_start_epoch,soft_r2i_rows,soft_r2i_top1_acc,soft_r2i_topk_acc,soft_r2i_correct_mass_mean,soft_r2i_entropy_mean,soft_i2r_rows,soft_i2r_top1_acc,soft_i2r_topk_acc,soft_i2r_correct_mass_mean,soft_i2r_entropy_mean
0,142,124,47,32,99,0.33098591549295775,0.3732394366197183,0.3467741935483871,0.5957446808510638,0.17003308491088964,0.18085551654863424,0.5666432981771526,0.5349934934331859,0.4523059738443253,0.2990252198651433,0.3325949123110434,,,,,,,,,True,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,151,132,59,32,95,0.39072847682119205,0.46357615894039733,0.4090909090909091,0.6610169491525424,0.1467521671800891,0.16222749668469363,0.6138254547992886,0.5886054623583754,0.5431020906416036,0.3838102538138628,0.3640299270027562,,,,,,,,,True,3,0.5,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,85,90,70,21,14,0.8235294117647058,0.5764705882352941,0.6555555555555556,0.6857142857142857,0.9771414552702214,0.9720991631147008,0.046563441352117034,0.05559790392349707,0.7790943937642234,0.6354218834922427,0.4954841562679836,,,,,,,,,True,3,0.5,2,206,0.35436893203883496,0.5825242718446602,0.29949990446810165,0.8303278323235025,206,0.3932038834951456,0.5533980582524272,0.3090089244906331,0.8037046462145359
3,92,99,82,12,15,0.8913043478260869,0.5869565217391305,0.6464646464646465,0.6219512195121951,0.9772701406656581,0.9721355954194589,0.04706683187921203,0.05789187134520249,0.7736899002296168,0.6845191270112991,0.4720087289810181,,,,,,,,,True,3,0.5,2,206,0.38349514563106796,0.5388349514563107,0.2984171008174663,0.8278863765406022,206,0.46116504854368934,0.5776699029126213,0.3458392434639685,0.7874706775144671
4,97,112,91,11,16,0.9381443298969072,0.5876288659793815,0.625,0.6043956043956044,0.9753136518213253,0.9724625041001165,0.05138613646038278,0.05836423589904892,0.7420166305133274,0.5338305153629996,0.4382413011044264,,,,,,,,,True,3,0.5,2,206,0.4029126213592233,0.5485436893203883,0.3027285191746376,0.8134318561148212,206,0.4368932038834951,0.5922330097087378,0.3412463687492416,0.7844595540274345
