run,save_path,enable_upr,beta,gamma,warmup,stage2_epoch,best_r1_by_map,best_map,best_minp,last_common_accuracy,last_mutual_match_ratio,last_num_common,last_num_specific,last_num_remain
baseline_p2s15,baseline_p2s15_step6_20260623_063755_6c96804,False,0.0,0.0,0,15,0.5816,0.5467,0.4269,0.6432748538011696,0.9447513812154696,171,4,17
upr_b01_g00_w2_p2s15,upr_b01_g00_w2_p2s15_step6_20260623_063755_6c96804,True,0.1,0.0,2,15,0.5607,0.5408,0.4299,0.6647727272727273,0.9832402234636871,176,2,8
