epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean
0,142,124,47,32,99,0.33098591549295775,0.3732394366197183,0.3467741935483871,0.5957446808510638,0.17003308491088964,0.18085551654863424,0.5666432981771526,0.5349934934331859,0.4523059738443253,0.2990252198651433,0.3325949123110434
1,151,132,59,32,95,0.39072847682119205,0.46357615894039733,0.4090909090909091,0.6610169491525424,0.1467521671800891,0.16222749668469363,0.6138254547992886,0.5886054623583754,0.5431020906416036,0.3838102538138628,0.3640299270027562
2,115,123,97,14,28,0.8434782608695652,0.5826086956521739,0.5528455284552846,0.6082474226804123,0.9771414552702214,0.9720991631147008,0.046563441352117034,0.05559790392349707,0.7325378619518477,0.5253104737826756,0.39913223151649746
3,122,131,107,15,24,0.8770491803278688,0.5983606557377049,0.5648854961832062,0.5887850467289719,0.9754052176330867,0.9716576615725444,0.05254363422556716,0.05992379251323519,0.7656406570817823,0.5305580655733745,0.3962126908202966
4,121,130,104,14,27,0.859504132231405,0.6115702479338843,0.6153846153846154,0.6442307692307693,0.9740735671780539,0.9733775379396769,0.05632971194394959,0.05519010897575429,0.6454813423065039,0.47245228929179056,0.3866281768789998
5,130,146,126,4,20,0.9692307692307692,0.6307692307692307,0.636986301369863,0.626984126984127,0.9728995683344145,0.9713962733040231,0.059586437326870696,0.06226996395457453,0.6872391733858321,0.41214485466480255,0.39859323352575304
6,132,147,126,3,23,0.9545454545454546,0.6363636363636364,0.6394557823129252,0.6587301587301587,0.971523246175449,0.971624200139043,0.06338904569984041,0.060590346141510786,0.6168950561966214,0.42049551010131836,0.3971457031110059
7,147,155,134,9,20,0.9115646258503401,0.6598639455782312,0.6516129032258065,0.6791044776119403,0.971642398294265,0.9715695582518399,0.06218420447083566,0.060850439213329284,0.6011960606521635,0.43379174255662495,0.38339147344231606
8,156,157,134,13,26,0.8589743589743589,0.6666666666666666,0.7070063694267515,0.7238805970149254,0.9706712830805615,0.9716246177309351,0.06579337417255668,0.060702820372542765,0.542931270465922,0.39895328650107753,0.39003026714691746
9,169,170,157,8,14,0.9289940828402367,0.7041420118343196,0.6941176470588235,0.7261146496815286,0.9698089308732007,0.9707264917551226,0.0684742525459072,0.0641297587677437,0.5771107591071706,0.36701397225260735,0.275449878935303
10,176,178,160,7,20,0.9090909090909091,0.6988636363636364,0.6966292134831461,0.73125,0.9690894883044133,0.9701614057605787,0.07078436014708184,0.06650016613388776,0.5986171755939722,0.479447494660105,0.2923183798789978
11,176,181,163,4,20,0.9261363636363636,0.7102272727272727,0.6850828729281768,0.7361963190184049,0.9685260317633748,0.9698298242357859,0.0728764229523967,0.06770841047653164,0.5965031992438381,0.3625655770301819,0.29284228328615425
12,178,180,166,6,15,0.9325842696629213,0.7134831460674157,0.7055555555555556,0.7409638554216867,0.9689580774266726,0.9696141147996913,0.0723351216150951,0.06932196509257772,0.6048178748193994,0.29490015795454383,0.31604221860567727
13,178,181,169,5,12,0.949438202247191,0.7134831460674157,0.7071823204419889,0.7396449704142012,0.9687017103798322,0.9699823828246864,0.07371645792159935,0.06853719733083222,0.6075108016031028,0.39590078592300415,0.28551343859483796
14,178,184,170,4,14,0.9550561797752809,0.7134831460674157,0.6956521739130435,0.7352941176470589,0.9682429578372777,0.9694980542672601,0.0744613142292483,0.06950212506482313,0.6059037490802652,0.4326561465859413,0.2589650941746576
